label,type,test_mae_mean,test_max_error_mean,test_r2_mean
cardinality,deepsets_mlp_fspool,1.254960156790912,6.794120413064956,0.9994019083896332
cardinality,deepsets_mlp_sum,0.0623071199872356,0.16261352598667142,0.9999454818096539
cardinality,mlp,16.255373225174843,109.36720519661904,0.9348775964063102
cardinality,pna,0.8078738518059254,5.718169236183167,0.9980797998597284
cardinality,small_set_transformer,1.2685601353645324,7.6717625677585595,0.9977510421099651
cardinality,sorted_mlp,3.0692416172474624,17.30772284269333,0.9881236736360021
largest_contiguous_sum,deepsets_mlp_fspool,3.8335455991327763,74.86585259437561,0.9998349995245552
largest_contiguous_sum,deepsets_mlp_sum,4.16918050646782,57.59404754638672,0.9995963724432604
largest_contiguous_sum,mlp,427.4768608093262,2816.905063056946,0.9487228211169231
largest_contiguous_sum,pna,27.072387564182282,190.22858734130858,0.9985323883781663
largest_contiguous_sum,small_set_transformer,38.35209413617849,275.5137744784355,0.9994560488375562
largest_contiguous_sum,sorted_mlp,5.644771175086499,103.63488721847534,0.9996883059430237
largest_pair_sum,deepsets_mlp_fspool,7.848753857612609,61.772457695007326,0.46413844963896467
largest_pair_sum,deepsets_mlp_sum,15.576144117116929,122.65374364852906,-2.1946614729144915
largest_pair_sum,mlp,14.702744615077972,114.44157466888429,0.2049675863599434
largest_pair_sum,pna,3.228025123476982,28.988142681121825,0.9849856559329504
largest_pair_sum,small_set_transformer,2.558049885928631,66.73300471305848,0.9684077838204043
largest_pair_sum,sorted_mlp,1.6255963012576102,61.008284139633176,0.9847838707104308
largest_triple_sum,deepsets_mlp_fspool,11.892958329617976,83.51540355682373,0.6395038261849344
largest_triple_sum,deepsets_mlp_sum,43.59265302419662,225.16648368835448,-4.97923929289136
largest_triple_sum,mlp,20.701793360710145,147.15813694000244,0.4708758062156695
largest_triple_sum,pna,5.055815890431404,46.22102870941162,0.9854324566747417
largest_triple_sum,small_set_transformer,4.511365166306495,93.25755043029785,0.9673460893663368
largest_triple_sum,sorted_mlp,2.519978070259094,80.71281313896179,0.9892791433823976
longest_seq_length,deepsets_mlp_fspool,11.62231470346451,93.4540801256895,0.5963575417385664
longest_seq_length,deepsets_mlp_sum,16.33368128798902,87.80971825718879,0.5838674999866809
longest_seq_length,mlp,10.819059524685144,101.24633592069148,0.5142764242944521
longest_seq_length,pna,8.62394570298493,70.74234681427478,0.6185581574887364
longest_seq_length,small_set_transformer,8.731076861545443,72.68371599614619,0.612417385175043
longest_seq_length,sorted_mlp,8.784022606164218,73.96383171975613,0.6483957793172663
max,deepsets_mlp_fspool,3.7031871300190686,41.80017614364624,0.37165749812341187
max,deepsets_mlp_sum,4.64361287355423,68.27571401596069,0.671787601092244
max,mlp,8.115969091653824,65.92821607589721,-0.3564225825646424
max,pna,0.17847640588879582,4.607851958274841,0.9987330206666817
max,small_set_transformer,0.34702998558059334,29.662360894680024,0.9912096725031634
max,sorted_mlp,0.7436485253274441,40.26932420730591,0.9782445572943551
sum,deepsets_mlp_fspool,4.759006088227034,26.03542732000351,0.9998866959866064
sum,deepsets_mlp_sum,2.4091646330431105,10.850324726104736,0.9999700898084591
sum,mlp,5.682284936308861,36.322247833013535,0.9998466013405897
sum,pna,7.192704030871392,251.92408447265626,0.999415575260738
sum,small_set_transformer,20.60367661975324,280.34829597473146,0.9958978154674463
sum,sorted_mlp,9.359706655144691,98.03104190826417,0.999646923640468
